ID;MOTHER;FATHER
D2Y1_62;D2;Y1
D2Y1_63;D2;Y1
D4L3_61;D4;L3
D4L3_62;D4;L3
D4L3_63;D4;L3
D5L3_64;D5;L3
D5L3_65;D5;L3
D5L3_66;D5;L3
D2L2_64;D2;L2
D2L2_65;D2;L2
D2L2_66;D2;L2
D2Y1_64;D2;Y1
D2Y1_65;D2;Y1
D2Y1_66;D2;Y1
D4L3_64;D4;L3
D4L3_65;D4;L3
D4L3_66;D4;L3
D5L3_67;D5;L3
D5L3_68;D5;L3
D5L3_69;D5;L3
D2L2_67;D2;L2
D2L2_68;D2;L2
D2L2_69;D2;L2
D2Y1_67;D2;Y1
D2Y1_68;D2;Y1
D2Y1_69;D2;Y1
D4L3_67;D4;L3
D4L3_68;D4;L3
D4L3_69;D4;L3
D5L3_70;D5;L3
D5L3_71;D5;L3
D5L3_72;D5;L3
D2L2_70;D2;L2
D2L2_71;D2;L2
D2L2_72;D2;L2
D2Y1_70;D2;Y1
D2Y1_71;D2;Y1
D2Y1_72;D2;Y1
D4L3_70;D4;L3
D4L3_71;D4;L3
D4L3_72;D4;L3
D5L3_73;D5;L3
D5L3_74;D5;L3
D5L3_75;D5;L3
D2L2_73;D2;L2
D2L2_74;D2;L2
D2L2_75;D2;L2
D2Y1_73;D2;Y1
D2Y1_74;D2;Y1
D2Y1_75;D2;Y1
D4L3_73;D4;L3
D4L3_74;D4;L3
D4L3_75;D4;L3
D2L3_61;D2;L3
D2L3_62;D2;L3
D2L3_63;D2;L3
D5L2_61;D5;L2
D5L2_62;D5;L2
D5L2_63;D5;L2
D3Y1_121;D3;Y1
D3Y1_122;D3;Y1
D3Y1_123;D3;Y1
D1Y1_61;D1;Y1
D1Y1_62;D1;Y1
D1Y1_63;D1;Y1
D2L3_64;D2;L3
D2L3_65;D2;L3
D2L3_66;D2;L3
D5L2_64;D5;L2
D5L2_65;D5;L2
D5L2_66;D5;L2
D3Y1_124;D3;Y1
D3Y1_125;D3;Y1
D3Y1_126;D3;Y1
D1Y1_64;D1;Y1
D1Y1_65;D1;Y1
D1Y1_66;D1;Y1
D2L3_67;D2;L3
D2L3_68;D2;L3
D2L3_69;D2;L3
D5L2_67;D5;L2
D5L2_68;D5;L2
D5L2_69;D5;L2
D3Y1_127;D3;Y1
D3Y1_128;D3;Y1
D3Y1_129;D3;Y1
D1Y1_67;D1;Y1
D1Y1_68;D1;Y1
D1Y1_69;D1;Y1
D2L3_70;D2;L3
D2L3_71;D2;L3
D2L3_72;D2;L3
D5L2_70;D5;L2
D5L2_71;D5;L2
D5L2_72;D5;L2
D3Y1_130;D3;Y1
D3Y1_131;D3;Y1
D3Y1_132;D3;Y1
D1Y1_70;D1;Y1
D1Y1_71;D1;Y1
D1Y1_72;D1;Y1
D2L3_73;D2;L3
D2L3_74;D2;L3
D2L3_75;D2;L3
D5L2_73;D5;L2
D5L2_74;D5;L2
D5L2_75;D5;L2
D3Y1_133;D3;Y1
D3Y1_134;D3;Y1
D3Y1_135;D3;Y1
D1Y1_73;D1;Y1
D1Y1_74;D1;Y1
D1Y1_75;D1;Y1
D1L3_61;D1;L3
D1L3_62;D1;L3
D1L3_63;D1;L3
D4L1_61;D4;L1
D4L1_62;D4;L1
D4L1_63;D4;L1
D3Y1_136;D3;Y1
D3Y1_137;D3;Y1
D3Y1_138;D3;Y1
D3L1_61;D3;L1
D3L1_62;D3;L1
D3L1_63;D3;L1
D1L3_64;D1;L3
D1L3_65;D1;L3
D1L3_66;D1;L3
D4L1_64;D4;L1
D4L1_65;D4;L1
D4L1_66;D4;L1
D3Y1_139;D3;Y1
D3Y1_140;D3;Y1
D3Y1_141;D3;Y1
D3L1_64;D3;L1
D3L1_65;D3;L1
D3L1_66;D3;L1
D1L3_67;D1;L3
D1L3_68;D1;L3
D1L3_69;D1;L3
D4L1_67;D4;L1
D4L1_68;D4;L1
D4L1_69;D4;L1
D3Y1_142;D3;Y1
D3Y1_143;D3;Y1
D3Y1_144;D3;Y1
D3L1_67;D3;L1
D3L1_68;D3;L1
D3L1_69;D3;L1
D1L3_70;D1;L3
D1L3_71;D1;L3
D1L3_72;D1;L3
D4L1_70;D4;L1
D4L1_71;D4;L1
D4L1_72;D4;L1
D3Y1_145;D3;Y1
D3Y1_146;D3;Y1
D3Y1_147;D3;Y1
D3L1_70;D3;L1
D3L1_71;D3;L1
D3L1_72;D3;L1
D1L3_73;D1;L3
D1L3_74;D1;L3
D1L3_75;D1;L3
D4L1_73;D4;L1
D4L1_74;D4;L1
D4L1_75;D4;L1
D3Y1_148;D3;Y1
D3Y1_149;D3;Y1
D3Y1_150;D3;Y1
D3L1_73;D3;L1
D3L1_74;D3;L1
D3L1_75;D3;L1
